,PROTEIN
1649,ORF1ab polyprotein
11178,ORF1ab polyprotein
11099,ORF1a polyprotein
9670,ORF1ab polyprotein
2360,ORF1ab polyprotein
11055,surface glycoprotein
2169,ORF1a polyprotein
9100,ORF1ab polyprotein
6941,ORF1a polyprotein
474,ORF1a polyprotein
8514,ORF1a polyprotein
1406,ORF1a polyprotein
7488,ORF1ab polyprotein
5142,nucleocapsid phosphoprotein
12205,ORF1ab polyprotein
9891,ORF1a polyprotein
7436,ORF1a polyprotein
12440,ORF8b protein
5383,ORF1ab polyprotein
7208,nucleocapsid phosphoprotein
5545,ORF1ab polyprotein
2652,surface glycoprotein
12096,ORF1ab polyprotein
1578,ORF1ab polyprotein
12780,ORF4b protein
11105,surface glycoprotein
3187,nucleocapsid phosphoprotein
11984,nucleocapsid phosphoprotein
5190,surface glycoprotein
12589,ORF1ab polyprotein
3533,ORF1ab polyprotein
12522,surface glycoprotein
10574,ORF1ab polyprotein
5884,ORF1a polyprotein
7085,ORF1ab polyprotein
4777,ORF1ab polyprotein
4264,ORF1ab polyprotein
13102,ORF8b protein
4282,ORF1ab polyprotein
7073,ORF1ab polyprotein
5851,ORF1ab polyprotein
8531,ORF1ab polyprotein
6170,ORF1ab polyprotein
8801,surface glycoprotein
11269,surface glycoprotein
1596,ORF1a polyprotein
5379,ORF1a polyprotein
6821,ORF1a polyprotein
4884,ORF1ab polyprotein
1186,ORF1ab polyprotein
2104,ORF1a polyprotein
4875,ORF1a polyprotein
682,ORF1a polyprotein
3293,ORF1ab polyprotein
3343,surface glycoprotein
10683,surface glycoprotein
8675,ORF1ab polyprotein
5531,ORF1a polyprotein
9990,ORF1ab polyprotein
1468,ORF1ab polyprotein
3537,ORF1ab polyprotein
2635,ORF1ab polyprotein
5422,ORF1a polyprotein
11521,ORF1a polyprotein
4219,ORF1a polyprotein
12132,ORF1ab polyprotein
1892,ORF1ab polyprotein
11295,ORF1ab polyprotein
1190,ORF1ab polyprotein
9043,ORF1ab polyprotein
1987,ORF1ab polyprotein
9021,nucleocapsid phosphoprotein
7899,ORF1ab polyprotein
13107,envelope protein
13089,ORF4b protein
1454,ORF1ab polyprotein
12824,ORF3 protein
1885,ORF1ab polyprotein
9717,surface glycoprotein
2202,ORF1ab polyprotein
10571,surface glycoprotein
9801,ORF1ab polyprotein
4634,ORF1ab polyprotein
3116,ORF1ab polyprotein
3027,ORF1ab polyprotein
4958,ORF1a polyprotein
11886,surface glycoprotein
5592,nucleocapsid phosphoprotein
7003,ORF1ab polyprotein
5219,ORF1a polyprotein
5718,ORF1ab polyprotein
12313,ORF4b protein
1221,ORF1a polyprotein
6025,ORF1a polyprotein
10455,ORF1ab polyprotein
11455,ORF5 protein
7937,ORF1a polyprotein
11597,ORF1a polyprotein
11638,surface glycoprotein
9207,ORF1ab polyprotein
9655,ORF1ab polyprotein
12540,ORF5 protein
903,ORF1ab polyprotein
6324,ORF1a polyprotein
7640,ORF1ab polyprotein
5928,ORF1a polyprotein
2700,ORF1a polyprotein
6819,ORF1ab polyprotein
8558,ORF1ab polyprotein
2378,ORF1a polyprotein
8124,ORF1ab polyprotein
85,surface glycoprotein
11821,ORF1a polyprotein
2912,ORF1a polyprotein
12908,ORF1a polyprotein
11179,surface glycoprotein
4212,ORF1a polyprotein
10146,ORF1a polyprotein
2183,ORF1ab polyprotein
10857,ORF1ab polyprotein
5864,ORF1ab polyprotein
8195,ORF1a polyprotein
7126,ORF1a polyprotein
12364,ORF4b protein
8621,ORF1ab polyprotein
9612,ORF1a polyprotein
12097,ORF5 protein
6911,nucleocapsid phosphoprotein
3979,ORF1ab polyprotein
7718,ORF1ab polyprotein
11387,envelope protein
8895,ORF1ab polyprotein
11171,ORF1a polyprotein
6742,ORF1ab polyprotein
12528,ORF5 protein
4112,nucleocapsid phosphoprotein
5644,ORF1ab polyprotein
10234,nucleocapsid phosphoprotein
6395,ORF1ab polyprotein
7119,ORF1ab polyprotein
11708,surface glycoprotein
8725,ORF1a polyprotein
3314,ORF1ab polyprotein
11719,surface glycoprotein
8781,ORF1a polyprotein
1900,ORF1ab polyprotein
11614,surface glycoprotein
9737,ORF1a polyprotein
1168,ORF1a polyprotein
2409,ORF1ab polyprotein
9887,ORF1ab polyprotein
1663,ORF1ab polyprotein
12804,ORF4b protein
3674,ORF1a polyprotein
8714,ORF1a polyprotein
6733,ORF1ab polyprotein
111,ORF1ab polyprotein
10440,nucleocapsid phosphoprotein
1314,ORF1ab polyprotein
1220,ORF1a polyprotein
131,ORF1a polyprotein
8235,surface glycoprotein
5988,ORF1ab polyprotein
11537,ORF1ab polyprotein
1460,ORF1a polyprotein
2355,ORF1ab polyprotein
394,ORF1a polyprotein
3915,ORF1ab polyprotein
10731,nucleocapsid phosphoprotein
12942,ORF1a polyprotein
507,ORF1a polyprotein
8957,ORF1ab polyprotein
3282,surface glycoprotein
1998,surface glycoprotein
4471,surface glycoprotein
4944,surface glycoprotein
8553,ORF1ab polyprotein
6504,ORF1ab polyprotein
5646,ORF1ab polyprotein
4611,ORF1a polyprotein
11625,nucleocapsid phosphoprotein
9374,nucleocapsid phosphoprotein
2280,ORF1ab polyprotein
8266,ORF1a polyprotein
2102,ORF1a polyprotein
10160,ORF1ab polyprotein
10713,ORF1ab polyprotein
11766,nucleocapsid phosphoprotein
1052,ORF1a polyprotein
2288,ORF1ab polyprotein
10266,ORF1ab polyprotein
8499,surface glycoprotein
7107,surface glycoprotein
1782,ORF1ab polyprotein
7563,ORF1ab polyprotein
12586,ORF4b protein
2992,nucleocapsid phosphoprotein
8776,ORF1a polyprotein
8147,ORF1ab polyprotein
7697,ORF1a polyprotein
6015,ORF1ab polyprotein
12635,ORF1ab polyprotein
7902,ORF1a polyprotein
2623,membrane glycoprotein
6014,ORF1a polyprotein
687,surface glycoprotein
11328,ORF3a protein
10826,ORF1a polyprotein
3637,ORF1ab polyprotein
5297,ORF1ab polyprotein
6822,ORF1a polyprotein
12853,ORF8b protein
11037,ORF3a protein
4273,ORF1ab polyprotein
6861,ORF1ab polyprotein
4927,ORF1ab polyprotein
6591,surface glycoprotein
4312,ORF1ab polyprotein
12278,ORF1a polyprotein
446,ORF1ab polyprotein
12557,ORF1a polyprotein
5253,ORF1ab polyprotein
10836,ORF1a polyprotein
5335,ORF1ab polyprotein
5090,nucleocapsid phosphoprotein
10753,ORF3a protein
3958,ORF1ab polyprotein
12064,ORF1a polyprotein
4410,surface glycoprotein
11732,surface glycoprotein
5935,surface glycoprotein
1336,ORF1ab polyprotein
12705,ORF1a polyprotein
6962,ORF1a polyprotein
7610,surface glycoprotein
2345,ORF1ab polyprotein
3009,ORF1ab polyprotein
8450,ORF1ab polyprotein
11942,surface glycoprotein
11852,ORF1a polyprotein
12273,ORF4a protein
6602,ORF1ab polyprotein
3054,ORF1a polyprotein
1087,ORF1a polyprotein
12526,ORF5 protein
12508,nucleocapsid phosphoprotein
9916,ORF1a polyprotein
10156,ORF1ab polyprotein
12677,ORF3 protein
3270,ORF1a polyprotein
2971,ORF3a protein
12425,ORF5 protein
9224,ORF1ab polyprotein
10429,ORF1a polyprotein
13099,ORF1a polyprotein
8938,ORF1ab polyprotein
2522,ORF1a polyprotein
5858,ORF1a polyprotein
10280,surface glycoprotein
11514,nucleocapsid phosphoprotein
10078,ORF1ab polyprotein
390,ORF1a polyprotein
9589,ORF1ab polyprotein
4732,ORF1ab polyprotein
924,ORF1a polyprotein
3631,ORF1a polyprotein
2847,ORF1ab polyprotein
12918,ORF1a polyprotein
122,ORF1ab polyprotein
12956,ORF3 protein
12168,ORF5 protein
4559,ORF1ab polyprotein
7949,ORF1a polyprotein
4550,ORF1a polyprotein
10313,ORF1a polyprotein
84,ORF1ab polyprotein
1685,surface glycoprotein
2026,ORF1ab polyprotein
3507,ORF1a polyprotein
1568,ORF1ab polyprotein
286,ORF1ab polyprotein
8905,ORF1ab polyprotein
1448,ORF1a polyprotein
2397,ORF1ab polyprotein
10830,ORF1a polyprotein
3353,ORF1a polyprotein
4529,ORF1a polyprotein
614,ORF1a polyprotein
12360,ORF4a protein
2754,ORF1ab polyprotein
12990,ORF4b protein
3220,ORF1ab polyprotein
5808,ORF1a polyprotein
7734,ORF1a polyprotein
7165,ORF1a polyprotein
7588,ORF1ab polyprotein
4727,ORF1a polyprotein
12948,nucleocapsid phosphoprotein
9621,ORF1a polyprotein
3423,ORF1ab polyprotein
12511,ORF5 protein
2647,ORF1ab polyprotein
4270,ORF1ab polyprotein
3568,nucleocapsid phosphoprotein
6019,ORF1a polyprotein
3680,ORF1ab polyprotein
5017,surface glycoprotein
2006,ORF1ab polyprotein
11935,ORF1ab polyprotein
9676,ORF1a polyprotein
4575,ORF1a polyprotein
3392,ORF1a polyprotein
2873,ORF1ab polyprotein
10649,ORF1a polyprotein
12257,surface glycoprotein
11841,surface glycoprotein
5334,ORF7a protein
7567,ORF1ab polyprotein
7136,ORF1ab polyprotein
6781,ORF1a polyprotein
10668,surface glycoprotein
12281,ORF1a polyprotein
6517,ORF1ab polyprotein
3655,ORF1ab polyprotein
9401,nucleocapsid phosphoprotein
5674,ORF1ab polyprotein
5614,surface glycoprotein
3333,ORF1ab polyprotein
10065,nucleocapsid phosphoprotein
4368,ORF1ab polyprotein
7412,ORF1ab polyprotein
3654,ORF1ab polyprotein
2868,surface glycoprotein
4347,ORF1a polyprotein
9367,ORF1ab polyprotein
6355,surface glycoprotein
4766,ORF1a polyprotein
12491,ORF5 protein
1833,ORF1a polyprotein
4403,ORF1ab polyprotein
232,ORF1a polyprotein
6074,ORF1a polyprotein
11723,ORF5 protein
363,ORF7b protein
1968,ORF1a polyprotein
5568,ORF1a polyprotein
7979,ORF1a polyprotein
1159,ORF1ab polyprotein
10958,surface glycoprotein
7826,ORF1ab polyprotein
6537,ORF3a protein
10623,ORF1ab polyprotein
11639,ORF4b protein
6472,ORF1a polyprotein
2779,ORF1ab polyprotein
2075,ORF1a polyprotein
6529,ORF1ab polyprotein
8183,ORF1a polyprotein
3616,ORF1a polyprotein
11424,ORF1a polyprotein
953,ORF1a polyprotein
7127,ORF1a polyprotein
5365,ORF8 protein
1400,ORF1ab polyprotein
7381,ORF1ab polyprotein
8971,ORF1a polyprotein
11150,nucleocapsid phosphoprotein
12619,ORF1a polyprotein
7231,ORF1a polyprotein
4322,nucleocapsid phosphoprotein
6942,ORF1ab polyprotein
7942,ORF1a polyprotein
10270,ORF1a polyprotein
6431,surface glycoprotein
5706,ORF1a polyprotein
6073,ORF1a polyprotein
4865,surface glycoprotein
11854,membrane glycoprotein
10964,surface glycoprotein
4770,ORF1ab polyprotein
12489,ORF4b protein
9551,surface glycoprotein
11022,ORF1ab polyprotein
766,ORF1a polyprotein
6338,nucleocapsid phosphoprotein
6834,ORF1ab polyprotein
4842,ORF1ab polyprotein
11373,ORF1b polyprotein
4332,ORF1ab polyprotein
3625,ORF1a polyprotein
11650,ORF1a polyprotein
694,ORF1ab polyprotein
4917,ORF1a polyprotein
588,ORF1ab polyprotein
1955,ORF1a polyprotein
11870,ORF1a polyprotein
645,ORF1a polyprotein
6686,ORF1ab polyprotein
9029,surface glycoprotein
11706,ORF5 protein
9419,ORF1a polyprotein
6947,ORF1ab polyprotein
9985,ORF1a polyprotein
11660,ORF5 protein
3081,ORF1ab polyprotein
2312,ORF3a protein
9050,ORF3a protein
3304,surface glycoprotein
8736,ORF1a polyprotein
12529,ORF3 protein
2009,ORF1a polyprotein
97,ORF1ab polyprotein
1903,ORF1a polyprotein
5613,ORF1ab polyprotein
698,ORF1ab polyprotein
8836,ORF1ab polyprotein
10481,ORF1ab polyprotein
12871,ORF1ab polyprotein
9363,ORF1ab polyprotein
11755,ORF8b protein
3477,ORF1a polyprotein
7873,ORF1ab polyprotein
5089,ORF1ab polyprotein
7782,ORF1ab polyprotein
2897,ORF1ab polyprotein
2807,ORF1ab polyprotein
7123,ORF1ab polyprotein
11964,ORF1a polyprotein
3684,ORF1ab polyprotein
10620,ORF1ab polyprotein
5444,ORF1a polyprotein
8638,surface glycoprotein
5672,surface glycoprotein
7517,nucleocapsid phosphoprotein
12367,ORF1ab polyprotein
4901,ORF1ab polyprotein
8583,ORF1ab polyprotein
9673,ORF1ab polyprotein
8587,ORF1ab polyprotein
10488,ORF1a polyprotein
1267,ORF1ab polyprotein
8637,ORF1ab polyprotein
10912,ORF1ab polyprotein
7144,surface glycoprotein
11527,ORF1a polyprotein
11465,ORF5 protein
2806,nucleocapsid phosphoprotein
11714,ORF1ab polyprotein
5936,ORF1a polyprotein
10040,ORF1a polyprotein
12668,ORF4b protein
10846,ORF1ab polyprotein
3760,ORF1a polyprotein
10928,ORF1a polyprotein
6354,ORF1ab polyprotein
10175,surface glycoprotein
858,ORF1a polyprotein
725,ORF1ab polyprotein
368,ORF1a polyprotein
11641,ORF1a polyprotein
9727,ORF1a polyprotein
7328,ORF1ab polyprotein
11324,ORF1ab polyprotein
2254,ORF1ab polyprotein
6286,ORF1a polyprotein
12271,ORF1a polyprotein
10892,surface glycoprotein
3134,ORF1a polyprotein
654,ORF1ab polyprotein
248,ORF1a polyprotein
1483,ORF1a polyprotein
6018,ORF1a polyprotein
12401,ORF1ab polyprotein
8782,ORF1ab polyprotein
10194,ORF1a polyprotein
3790,ORF1a polyprotein
610,ORF1ab polyprotein
198,surface glycoprotein
10997,ORF1a polyprotein
4329,ORF1a polyprotein
4663,ORF1ab polyprotein
6469,surface glycoprotein
1855,ORF1a polyprotein
11335,membrane glycoprotein
9127,ORF1a polyprotein
5552,ORF1ab polyprotein
12199,surface glycoprotein
13046,surface glycoprotein
7788,ORF1ab polyprotein
6292,ORF1ab polyprotein
1022,ORF1a polyprotein
11575,surface glycoprotein
12972,ORF4a protein
621,ORF1ab polyprotein
12926,ORF1a polyprotein
10002,ORF1a polyprotein
7611,ORF1ab polyprotein
11124,ORF1a polyprotein
10218,ORF1a polyprotein
5744,ORF3a protein
11890,ORF1ab polyprotein
12350,surface glycoprotein
6369,ORF1a polyprotein
2903,ORF1ab polyprotein
1321,ORF1a polyprotein
4490,ORF1a polyprotein
9305,nucleocapsid phosphoprotein
7118,ORF1ab polyprotein
10448,ORF1a polyprotein
1147,ORF1ab polyprotein
6270,ORF1a polyprotein
10736,nucleocapsid phosphoprotein
2103,ORF1ab polyprotein
12030,nucleocapsid phosphoprotein
7372,ORF1a polyprotein
5465,ORF1ab polyprotein
6535,ORF1ab polyprotein
8475,surface glycoprotein
2707,ORF1a polyprotein
12240,nucleocapsid phosphoprotein
3233,ORF1ab polyprotein
10511,ORF1ab polyprotein
7029,ORF1ab polyprotein
7716,surface glycoprotein
10592,ORF1a polyprotein
13114,ORF1a polyprotein
247,surface glycoprotein
7204,ORF1a polyprotein
6793,ORF1ab polyprotein
11036,nucleocapsid phosphoprotein
11117,ORF1ab polyprotein
9227,ORF1a polyprotein
10389,ORF1a polyprotein
794,ORF1a polyprotein
9593,surface glycoprotein
344,ORF1a polyprotein
1437,ORF1a polyprotein
1008,ORF1a polyprotein
8554,nucleocapsid phosphoprotein
10297,ORF1a polyprotein
4673,ORF1a polyprotein
6512,ORF1ab polyprotein
9126,surface glycoprotein
7207,surface glycoprotein
9350,ORF1a polyprotein
862,surface glycoprotein
758,ORF1ab polyprotein
6617,ORF1ab polyprotein
5337,surface glycoprotein
12936,nucleocapsid phosphoprotein
10114,ORF1a polyprotein
230,ORF1ab polyprotein
6104,ORF1ab polyprotein
12977,ORF5 protein
4224,surface glycoprotein
8170,ORF1ab polyprotein
11279,nucleocapsid phosphoprotein
8258,surface glycoprotein
8202,ORF1a polyprotein
3475,ORF1ab polyprotein
12905,surface glycoprotein
10115,ORF1ab polyprotein
8415,ORF1a polyprotein
3014,ORF1a polyprotein
5606,ORF3a protein
10543,surface glycoprotein
6927,ORF1ab polyprotein
770,ORF1ab polyprotein
2719,ORF1ab polyprotein
11478,ORF4a protein
3273,ORF1ab polyprotein
6339,ORF1a polyprotein
7646,ORF1a polyprotein
2468,ORF1ab polyprotein
4915,ORF3a protein
11616,ORF1ab polyprotein
10163,ORF1ab polyprotein
7456,ORF1a polyprotein
7186,ORF1a polyprotein
2539,ORF1ab polyprotein
12260,ORF1ab polyprotein
10088,ORF1ab polyprotein
4419,ORF1a polyprotein
4849,ORF1a polyprotein
3509,nucleocapsid phosphoprotein
6656,surface glycoprotein
972,ORF1a polyprotein
11722,surface glycoprotein
1198,ORF1ab polyprotein
3963,surface glycoprotein
4740,nucleocapsid phosphoprotein
2535,ORF1ab polyprotein
3699,ORF1ab polyprotein
4327,ORF1ab polyprotein
2583,ORF1a polyprotein
2339,ORF1a polyprotein
5654,ORF1ab polyprotein
3080,ORF1a polyprotein
13082,ORF4b protein
4092,surface glycoprotein
11262,surface glycoprotein
2069,ORF1ab polyprotein
7475,surface glycoprotein
6358,ORF1ab polyprotein
5025,ORF1ab polyprotein
693,ORF1a polyprotein
11825,membrane glycoprotein
4711,ORF1ab polyprotein
9385,ORF1a polyprotein
1623,ORF1a polyprotein
9876,ORF1ab polyprotein
6613,ORF1ab polyprotein
6372,ORF1a polyprotein
4225,ORF1ab polyprotein
4274,ORF1ab polyprotein
7391,ORF1a polyprotein
6221,ORF1a polyprotein
10465,surface glycoprotein
12774,ORF1a polyprotein
12757,ORF1a polyprotein
7991,ORF1ab polyprotein
12857,ORF4a protein
7568,ORF1a polyprotein
7088,surface glycoprotein
11001,surface glycoprotein
2958,ORF1ab polyprotein
4921,ORF1a polyprotein
7448,ORF1a polyprotein
10748,ORF1ab polyprotein
6219,ORF1ab polyprotein
3580,surface glycoprotein
10024,ORF1ab polyprotein
10645,surface glycoprotein
2927,ORF1ab polyprotein
7511,ORF1a polyprotein
13123,ORF3 protein
10636,ORF1a polyprotein
877,ORF1a polyprotein
7425,ORF1ab polyprotein
9467,ORF1a polyprotein
8995,surface glycoprotein
11736,ORF1ab polyprotein
1712,surface glycoprotein
8273,ORF1ab polyprotein
11812,nucleocapsid phosphoprotein
10385,ORF1ab polyprotein
10368,ORF1ab polyprotein
1764,ORF1ab polyprotein
392,ORF1a polyprotein
3833,ORF1a polyprotein
2082,ORF1ab polyprotein
3305,ORF1a polyprotein
2251,ORF1a polyprotein
10766,ORF1a polyprotein
6724,ORF1ab polyprotein
8833,ORF1ab polyprotein
1383,ORF1ab polyprotein
11668,ORF1a polyprotein
6625,ORF1ab polyprotein
5261,ORF1ab polyprotein
7525,ORF1ab polyprotein
5645,ORF1ab polyprotein
4191,ORF1ab polyprotein
9935,ORF1ab polyprotein
6800,ORF7a protein
5556,ORF1a polyprotein
7784,ORF1a polyprotein
425,ORF1ab polyprotein
3196,ORF1ab polyprotein
3822,ORF1a polyprotein
8087,ORF1a polyprotein
11897,nucleocapsid phosphoprotein
630,ORF1ab polyprotein
11899,ORF3 protein
3804,ORF1ab polyprotein
6833,ORF1ab polyprotein
3785,ORF1ab polyprotein
1874,surface glycoprotein
1667,ORF1ab polyprotein
12086,ORF1a polyprotein
1973,ORF1a polyprotein
2565,ORF1ab polyprotein
8322,ORF1ab polyprotein
6731,ORF1a polyprotein
5820,ORF1ab polyprotein
4480,ORF1ab polyprotein
13022,membrane glycoprotein
7531,ORF1ab polyprotein
31,surface glycoprotein
6593,ORF1ab polyprotein
10145,ORF1ab polyprotein
11746,surface glycoprotein
2263,ORF1ab polyprotein
12138,surface glycoprotein
2469,ORF1a polyprotein
2546,ORF1ab polyprotein
736,ORF1a polyprotein
277,ORF1ab polyprotein
1096,ORF1ab polyprotein
3732,ORF1a polyprotein
4379,ORF3a protein
450,ORF1a polyprotein
3386,ORF1a polyprotein
4799,surface glycoprotein
11637,ORF5 protein
12856,ORF1ab polyprotein
12732,ORF1a polyprotein
11290,ORF1a polyprotein
2133,surface glycoprotein
5228,ORF1ab polyprotein
1537,surface glycoprotein
3041,surface glycoprotein
4556,ORF1a polyprotein
11491,ORF1ab polyprotein
954,ORF1ab polyprotein
6039,ORF1ab polyprotein
8023,ORF1a polyprotein
2105,ORF1ab polyprotein
11320,ORF1a polyprotein
1629,ORF1a polyprotein
8580,ORF1ab polyprotein
11913,ORF4a protein
150,ORF1a polyprotein
12500,surface glycoprotein
1519,ORF1ab polyprotein
1925,ORF1a polyprotein
2848,ORF1a polyprotein
11059,ORF1ab polyprotein
12224,ORF1a polyprotein
9460,ORF1ab polyprotein
9170,ORF1ab polyprotein
7712,ORF1a polyprotein
6580,ORF1a polyprotein
2678,surface glycoprotein
7495,ORF1a polyprotein
2418,ORF1a polyprotein
1619,ORF1ab polyprotein
401,ORF1a polyprotein
9129,ORF1a polyprotein
7984,ORF1ab polyprotein
4514,surface glycoprotein
11413,ORF1a polyprotein
11628,ORF4a protein
8788,surface glycoprotein
5892,surface glycoprotein
12417,surface glycoprotein
5683,surface glycoprotein
1896,ORF1ab polyprotein
5685,ORF1ab polyprotein
7722,nucleocapsid phosphoprotein
13195,ORF1a polyprotein
1601,ORF1ab polyprotein
11716,ORF1a polyprotein
7282,ORF1ab polyprotein
8012,ORF1ab polyprotein
7593,ORF3a protein
6905,nucleocapsid phosphoprotein
4941,ORF1a polyprotein
12108,ORF1a polyprotein
8633,ORF1ab polyprotein
5640,ORF1a polyprotein
8545,ORF1a polyprotein
5937,ORF1ab polyprotein
1626,ORF1a polyprotein
4580,surface glycoprotein
11306,nucleocapsid phosphoprotein
5138,ORF1ab polyprotein
12466,surface glycoprotein
10622,surface glycoprotein
8188,ORF1a polyprotein
731,ORF1ab polyprotein
13044,surface glycoprotein
9604,ORF1a polyprotein
12565,ORF1a polyprotein
4647,nucleocapsid phosphoprotein
9081,ORF1a polyprotein
8192,ORF1ab polyprotein
10996,ORF1ab polyprotein
11687,ORF1ab polyprotein
6445,ORF1a polyprotein
3774,ORF1ab polyprotein
1049,surface glycoprotein
6115,ORF3a protein
2093,ORF1ab polyprotein
8064,ORF1ab polyprotein
1805,ORF1ab polyprotein
11200,surface glycoprotein
12054,surface glycoprotein
8794,surface glycoprotein
187,surface glycoprotein
12601,surface glycoprotein
1155,surface glycoprotein
9036,ORF1ab polyprotein
11520,ORF3 protein
10548,ORF1a polyprotein
4614,surface glycoprotein
10282,ORF1ab polyprotein
10352,ORF3a protein
10907,ORF1ab polyprotein
6401,ORF1ab polyprotein
11605,surface glycoprotein
8645,surface glycoprotein
4324,ORF1a polyprotein
2853,ORF1ab polyprotein
2886,ORF1a polyprotein
3961,ORF1ab polyprotein
12689,membrane glycoprotein
6268,ORF1a polyprotein
12692,surface glycoprotein
4033,ORF1a polyprotein
9707,ORF1a polyprotein
12592,ORF1a polyprotein
11512,ORF1a polyprotein
12613,ORF1a polyprotein
3793,ORF1ab polyprotein
5527,ORF1ab polyprotein
13164,surface glycoprotein
1808,ORF1a polyprotein
7884,ORF1a polyprotein
12867,ORF1ab polyprotein
11058,surface glycoprotein
9630,nucleocapsid phosphoprotein
3001,surface glycoprotein
13148,envelope protein
8118,ORF1ab polyprotein
3467,ORF1ab polyprotein
2620,surface glycoprotein
4199,ORF1ab polyprotein
12830,ORF3 protein
11530,surface glycoprotein
7110,ORF1ab polyprotein
5105,ORF1a polyprotein
4119,ORF1ab polyprotein
4371,ORF1ab polyprotein
6227,nucleocapsid phosphoprotein
12398,ORF1a polyprotein
6773,ORF1ab polyprotein
2790,ORF1a polyprotein
4791,surface glycoprotein
9762,ORF1a polyprotein
10535,nucleocapsid phosphoprotein
2705,ORF1a polyprotein
1522,ORF1a polyprotein
3807,ORF1a polyprotein
10391,surface glycoprotein
2664,surface glycoprotein
10003,ORF1a polyprotein
5098,ORF1ab polyprotein
10213,ORF1a polyprotein
1205,ORF1a polyprotein
12119,surface glycoprotein
7896,ORF1a polyprotein
2407,ORF1ab polyprotein
6241,surface glycoprotein
9488,ORF1ab polyprotein
2736,ORF1a polyprotein
7399,surface glycoprotein
8162,ORF1ab polyprotein
989,ORF1ab polyprotein
1577,ORF1a polyprotein
5243,ORF1ab polyprotein
10250,surface glycoprotein
